Agglomeration_ID,Agglomeration_Name,ISO3,Population_1950,Population_1960,Population_1970,Population_1980,Population_1990,Population_2000,Population_2010,Population_2015,Population_2020,Population_2025,Population_2030,Population_2035,Population_2040,Population_2045,Population_2050
32,Abidjan,CIV,63811,224605,580844,1251272,2107460,3044942,4108908,4717347,5877152,6718596.35482001,7615721.08369304,8624512.82922729,9605331.4074291,11004387.8856542,12180100.7636512
2088,Bouake,CIV,27710,59321,122386,222411,357309,472921,518652,552444,690125,804049.756911749,927324.584636782,1057321.85338096,1193462.2038287,1333188.27505188,1475918.4847264
4997,Korhogo,CIV,0,18589,34679,67165,115951,147261,212756,250310,336946,418291.122474317,505709.27666333,600400.692318752,701965.643325016,808608.730384703,919802.523414898
2557,Daloa,CIV,0,17058,47137,81371,132354,181575,226568,260984,320653,366443.27034047,415249.417241921,465923.254299766,518231.88442602,571157.078808856,624505.010494887
7768,San-Pedro,CIV,0,0,0,40646,80779,143795,156006,169513,221456,284354.451586319,339961.489697791,399893.490784035,463894.849748368,530821.326841939,600351.261965594
9054,Yamoussoukro,CIV,0,0,17819,56638,118460,165535,199746,220423,255894,277060.680059105,297774.421633843,333799.760888482,352926.884632553,370194.810313722,385613.818574859
3320,Gagnoa,CIV,15240,17748,30602,56456,89427,110621,145380,164910,202999,229469.514192139,257380.926681449,286031.973124574,315288.006668057,344564.346152926,373765.219007183
2786,Divo,CIV,0,0,27182,49498,75318,88711,100298,108316,178334,225166.164340737,277649.383132612,334927.646960184,396762.872530796,497683.180642323,604552.301979351
5631,Man,CIV,0,18021,39594,63426,93763,121281,141578,154617,190891,214537.810382912,239308.046702213,264554.940757453,290158.201740316,315597.650395135,340796.540874619
8183,Soubre,CIV,0,0,0,12361,37432,62873,89864,103999,139723,172800.975104666,214670.638499046,255585.053018045,299523.614302619,351723.660427771,400542.16190224
28,Abengourou,CIV,0,0,23564,40582,61469,75862,96058,108296,126471,137275.163187991,147919.247705983,158024.236205591,167535.138485653,176223.051866572,184089.137312022
2897,Duekoue,CIV,0,0,10645,20819,28759,39158,72310,92775,112628,120894.730756756,128766.916693212,135920.814408689,142314.336547927,147775.881462554,152320.973845543
2038,Bondoukou,CIV,0,0,11999,23947,35213,46190,74550,91242,103844,112290.478619873,120526.527794761,128245.262591609,135403.689015013,141823.965731458,147511.588425601
2523,Dabou,CIV,0,0,16670,29370,42189,55973,59778,66692,89764,111138.831756278,134949.299445454,166580.13583723,195336.380279787,0,0
2087,Bouafle,CIV,0,0,0,21904,37090,50181,71828,83736,98676,110745.960848186,123368.074014113,136209.573403914,149209.058453155,162101.292780249,174848.24777184
250,Agboville,CIV,0,14117,25811,33872,47878,54965,51602,58548,91975,109173.58923139,127993.15086133,148062.981275477,169295.627033561,191302.291020745,213983.907297287
218,Adzope,CIV,0,10313,24549,27620,36809,45202,54553,60349,81975,102061.672871459,124478.013920241,148845.202442616,175061.118551271,202665.99394468,231520.644504173
5203,Lakota,CIV,0,0,0,15809,23173,31468,26695,25668,71179,97982.9313879172,128551.0660265,162459.190314474,199571.062945685,239264.630105174,281318.900016962
2047,Bonon,CIV,0,0,0,13917,21053,29631,68578,95086,97459,97459,97459,97459,97459,97459,97459
4129,Issia,CIV,0,0,0,16409,30854,43178,51017,54850,73135,88292.4170745298,105014.359885066,122990.979352839,142145.2072208,162132.620229098,182858.596826992
3651,Guiglo,CIV,0,0,0,14241,24621,38451,49000,53999,70969,86551.2293320639,103814.151236207,122448.201458606,142374.154959211,163236.994005345,184935.554531005
8110,Sinfra,CIV,0,0,10291,22134,36813,51926,73185,82892,85807,85807,85807,85807,85807,85807,85807
7836,Seguela,CIV,0,0,10775,17750,31579,45461,48601,47468,67821,85414.8989490914,105117.640934883,126605.886359522,149790.191512107,174266.956773707,199910.5970971
2048,Bonoua,CIV,0,0,13814,18484,23110,33752,36453,39191,66897,85402.6872109978,106202.650708115,128966.237467944,153599.371792134,0,0
2591,Danane,CIV,0,0,16612,23708,34499,58423,63851,64011,76438,84896.6256874714,93617.2146405711,102351.063918158,111055.138514285,119545.187869058,127801.285485242
3230,Ferkessedougou,CIV,0,0,17559,28975,36474,42703,53246,58850,71312,81954.1196180301,93352.2418013686,105246.347767146,117582.312314587,130122.771766489,142819.715457325
6963,Odienne,CIV,0,0,10745,18590,30964,45751,43481,43341,61935,79341.7632337755,98923.5351194896,120371.402852779,143596.877983925,168199.500410921,194050.254561529
261,Agnibilekrou,CIV,0,0,0,17580,26058,34449,44106,49958,63660,76018.2020606648,89582.8446075051,104092.723838933,119485.001129013,135479.760257181,152003.574403088
5894,Meagui,CIV,0,0,0,0,0,20390,43390,64488,71203,74999.0239517284,78279.6218365452,80854.6790645622,82704.8546993048,83755.701745948,84032.3312393655
4648,Katiola,CIV,0,0,15783,25948,34776,39221,40645,41436,56664,74729.4410442352,91429.0110113628,109603.422024074,129176.692937482,149806.46419009,171388.060136786
2608,Daoukro,CIV,0,0,14148,21419,25203,38878,42198,45570,60721,71120.523328403,82412.611233367,94362.2459197694,106916.54279144,119841.546993545,133082.068394678
8819,Vavoua,CIV,0,0,0,12014,19281,27699,52971,68955,70051,70051,70051,70051,70051,70051,70051
2128,Boundiali,CIV,0,0,0,13739,23197,28865,37052,41069,55177,68239.3317642118,82784.5851676784,98562.4379040996,115506.480159424,133318.142655089,151908.638830687
8597,Toumodi,CIV,0,0,0,16166,23870,33107,42120,44385,56050,65974.1976413733,76782.6827148045,88255.2122268834,100341.320182901,112817.321657842,125628.799616915
1971,Blolequin,CIV,0,0,0,0,0,28893,31413,33156,47480,60891.3817564059,75982.6420275154,92516.2814306151,110424.122486614,238198.323383528,282445.341410747
46,Aboisso,CIV,0,0,11526,16846,22497,28156,40105,46954,52186,55354.5350664348,58217.1632650589,60630.6141364008,62578.7493076579,63997.8096357467,64902.06717187
3811,Hire,CIV,0,0,0,11718,15224,18473,27844,32845,44022,54363.5988609789,65873.4503125716,78352.6527779681,91748.6285855087,105825.072410407,120512.002591653
2748,Dimbokro,CIV,0,0,22139,33769,39880,48040,49364,50213,53170,53170,53170,53170,53170,53170,53170
9105,Zagne,CIV,0,0,0,0,10076,19639,37876,50217,51834,51834,51834,51834,51834,51834,51834
6634,N'Douci,CIV,0,0,0,10241,15252,20663,30003,27863,39774,50923.4791354943,63464.3395947356,125663.369153837,147673.585377911,170841.049378416,195049.251684218
8094,Sikensi,CIV,0,0,0,0,0,12415,22561,35551,40235,49573.9506668247,59959.6361062052,104104.019613963,121959.044620793,140725.244160803,160309.178530791
421,Akoupe,CIV,0,0,0,14628,20705,22097,25373,27407,44983,48290.7803004707,51442.1149585225,54307.6406352719,56870.5169121596,59062.0620049089,60888.4112140955
8449,Tengrela,CIV,0,0,0,12959,22281,22335,35749,41440,45302,47202.6196064688,48679.6049117117,49617.2345005128,50005.8173261433,50005.8173261433,50005.8173261433
7224,Oume,CIV,0,0,0,21206,29564,29751,41351,46462,46293,46293,46293,46293,46293,46293,46293
223,Affery,CIV,0,0,0,15448,17682,21154,21472,22380,35330,44953.4354394015,55760.6590212759,67578.5698970148,80358.2458636622,93878.5332622981,123833.613564579
1829,Beoumi,CIV,0,0,0,12040,14549,23027,24442,26233,40576,42866.2855330668,44886.4820344737,46526.9569350072,47776.0429134535,48588.2910066793,48976.6520100916
2043,Bongouanou,CIV,0,0,11301,18314,19999,22254,26366,28841,40116,42741.8271263519,45167.8632892654,47282.0397722329,49070.9847554555,50481.1604684145,51521.5044057396
7160,Ouangolodougou,CIV,0,0,0,0,13249,19027,32369,39043,41885,42714.8645226473,42980.5626659131,42980.5626659131,42980.5626659131,42980.5626659131,42980.5626659131
8352,Tanda,CIV,0,0,0,0,12315,16949,24410,28425,36519,42063.7315614405,48013.2606429747,54233.4655474509,60696.1465733693,67277.4910846947,73951.8979110201
8585,Touba,CIV,0,0,0,0,16719,22534,24227,22980,32187,40788.5639564296,50437.7754834032,60978.6199136723,72367.3694241431,84406.4896131675,97033.6871274687
8260,Tabou,CIV,0,0,0,0,11644,25295,24925,23363,32074,40184.7729728856,49253.850241086,59130.4522920679,69773.3450375927,80996.649949971,92743.2186374277
9185,Zouan-Hounien,CIV,0,0,0,0,0,14344,20375,23506,32804,37910.0317148809,43402.9962021465,49161.1399601954,55158.4950752068,61280.8606121823,67503.899033097
1295,Arrah,CIV,0,0,11689,19677,21620,23411,23869,24790,30537,35556.91804677,40986.6416962948,46710.1168089958,52701.8147170423,58849.0777895532,65126.3973621352
8487,Tiassale,CIV,0,0,0,15767,19601,18396,20056,20613,29698,35436.3354728042,41732.4868260866,0,0,0,0
6755,Nielle,CIV,0,0,0,0,0,0,17339,19646,27676,35183.3563088907,43612.233105114,52827.3484509159,62790.5374679696,73329.3011619775,84388.8861769159
9191,Zuenoufla,CIV,0,0,0,12641,20407,24669,31150,34960,34768,34768,34768,34768,34768,34768,34768
5861,M'Bengue,CIV,0,0,0,0,0,0,16555,22858,30255,34533.5737391066,39088.9087380761,43813.095421417,48684.3720149041,53607.6623352524,58565.1265025886
9035,Yabayo,CIV,0,0,0,0,0,10525,17287,20642,27733,34298.7567582112,41609.9290475618,49540.6962653587,58057.677643349,67010.7975282035,76355.4260288013
2729,Diegonefla,CIV,0,0,0,0,11443,16777,36791,34452,34118,34118,34118,34118,34118,34118,34118
7800,Sassandra,CIV,0,0,0,10811,13751,16408,24087,27345,31293,34066.19097984,36818.3523237122,39454.6863243953,41961.079090641,44278.5152156715,46406.2135563431
3607,Grand-Lahou,CIV,0,0,0,0,0,30242,27475,29259,32081,33536.5890575346,34712.5713526991,35525.8818814593,35969.1007327741,36014.7481559227,36014.7481559227
2127,Bouna,CIV,0,0,0,0,13910,16517,18963,19275,26573,33374.1580159312,40984.4127108024,49278.0156900326,58220.3910165872,67655.6013082881,77535.4284111568
4987,Kononfla,CIV,0,0,0,0,12513,15824,20958,28774,32002,32177.6871985885,32177.6871985885,32177.6871985885,32177.6871985885,32177.6871985885,32177.6871985885
7676,Saioua,CIV,0,0,0,12512,21492,15035,27847,27637,30478,32061.06518511,33415.7312682685,34461.0462729634,35188.9438085904,35568.5521481852,35611.0669760608
2298,Buyo,CIV,0,0,0,0,0,14031,22359,26041,31514,31514,31514,31514,31514,31514,31514
2711,Dianra,CIV,0,0,0,0,0,0,18574,26597,29123,30398.5894790798,31411.8369704074,32087.8023891878,32419.982615397,32419.982615397,32419.982615397
