"lon";"lat";"duree";"groupe";"sexe";"age";"statut";"instr";"habitat";"tailmen";"tailmen_4";"enfmen";"enfmen_4";"sac_riz";"orig";"raison";"transport";"alim";"mines";"cmu";"cmu_utilise";"eau_autre";"eau_bouteille";"eau_forage";"eau_robinet"
NA;NA;2,51698333422343;"8. Autres";"Homme";"45+";"Marié ou concubinage";"Supérieur";"Maison";2;"(0,4]";0;NA;0;"Bouaké";"Particulier";"bus";"non";NA;"non";NA;0;1;0;1
NA;NA;11,0802500009537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Côte d'Ivoire";"Grossiste";"taxi";NA;NA;"non";NA;0;1;0;0
-5,024735;7,697178;10,1396499991417;"3.Eau";"Homme";"18-29";"Célibataire";"Ecole coranique";"Maison";5;"(4,8]";0;NA;1;"Bouaké";"Autre";"taxi-moto";"non";"1.Très négative";"non";NA;0;0;1;0
NA;NA;NA;NA;"Femme";"18-29";"Célibataire";"Ecole coranique";"Maison";23;"(16,30]";15;"(8,25]";3;"Bouaké";"Particulier";"taxi";"oui";NA;"non";NA;0;1;0;1
-5,024729;7,697137;NA;"3.Eau";"Homme";"18-29";"Marié ou concubinage";"Secondaire";"Maison";20;"(16,30]";5;"(4,8]";2;"Bouaké";"Commerçant";"taxi-moto";"non";"2.Négative";"oui";"oui";0;0;0;1
-5,024672;7,697121;NA;"3.Eau";"Homme";"18-29";"Célibataire";"Secondaire";"Maison";6;"(4,8]";2;"(0,2]";1;"Bouaké";"Autre";"taxi-moto";"non";NA;"non";NA;1;0;0;0
-5,023231;7,697566;NA;NA;"Femme";"30-44";"Marié ou concubinage";"Aucun";"Autre";5;"(4,8]";4;"(2,4]";2;"Bouaké";"Commerçant";"auto";"oui";NA;"non";NA;0;0;1;0
-5,02361;7,697382;13,9566833337148;"5.Santé";"Homme";"45+";"Marié ou concubinage";"Ecole coranique";"Autre";25;"(16,30]";14;"(8,25]";4;"Bouaké";"Grossiste";"moto";"non";"5.Très positive";"oui";"non";0;0;0;1
-5,024789;7,697138;NA;"4.Mines";"Homme";"45+";"Marié ou concubinage";"Secondaire";"Maison";9;"(8,16]";6;"(4,8]";2;"Bouaké";"Commerçant";"marche";"oui";"4.Positive";"non";NA;0;0;0;1
-5,025069;7,697648;6,15226666529973;"2.Démographie";"Femme";"30-44";"Marié ou concubinage";"Secondaire";"Maison";6;"(4,8]";4;"(2,4]";1;"Bouaké";"Grossiste";"auto";"non";"2.Négative";"non";NA;1;0;0;0
-5,024534;7,697614;3,66181666453679;"6.Urbanisation";"Homme";"30-44";"Marié ou concubinage";"Primaire";"Maison";3;"(0,4]";1;"(0,2]";1;"Bouaké";"Commerçant";"moto";"oui";NA;"oui";"non";0;1;1;0
-5,02459;7,697567;NA;"6.Urbanisation";"Homme";"30-44";"Marié ou concubinage";"Primaire";"Maison";3;"(0,4]";1;"(0,2]";1;"Bouaké";"Commerçant";"taxi-moto";"non";NA;"oui";"non";0;1;1;0
-5,024864;7,697111;9,4036666671435;"7.Transport";"Homme";"30-44";"Marié ou concubinage";"Aucun";"Maison";10;"(8,16]";5;"(4,8]";2;"Bouaké";"Grossiste";"taxi-moto";"non";"3.Neutre";"non";NA;0;0;1;0
