"gdlcode";"continent";"iso_code";"sup";"lon";"lat";"country";"year";"region";"idh";"idh_vie";"idh_rev";"idh_edu";"edu_esp";"edu_moy";"esp_vie";"pib_hab";"pop"
"AGOr201";"Africa";"AGO";8065;12,474374374618;-5,05005402519606;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr202";"Africa";"AGO";35856;13,5848161876111;-6,61213879120236;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr203";"Africa";"AGO";61854;15,4829288290976;-7,01170739907975;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr204";"Africa";"AGO";2235;13,311502602874;-8,97738675407226;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr205";"Africa";"AGO";23939;14,9265293590761;-8,90285506102321;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr206";"Africa";"AGO";55613;15,0331567140399;-10,8280721002993;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr207";"Africa";"AGO";84090;16,9664454002467;-9,49919937645951;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr208";"Africa";"AGO";108549;19,5170276842882;-8,62615850313544;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr209";"Africa";"AGO";40369;14,0087631399985;-12,934441500646;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr210";"Africa";"AGO";33132;15,7593114120012;-12,5640635895713;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr211";"Africa";"AGO";72662;17,3669132388111;-12,3291177760716;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr212";"Africa";"AGO";199510;21,0418026499472;-12,8688388288083;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr213";"Africa";"AGO";201332;19,517706021559;-16,1204870161018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr214";"Africa";"AGO";58332;12,7289098987743;-15,5129618189968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr215";"Africa";"AGO";79743;14,9543784154759;-14,7605977409486;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr216";"Africa";"AGO";76411;15,5713342926254;-16,5217223228201;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr217";"Africa";"AGO";78148;20,6656811572979;-10,1822289937068;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGOr218";"Africa";"AGO";34411;13,8859145839908;-8,95129295534858;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BDIr101";"Africa";"BDI";6838;30,0614560767691;-2,77503147150368;"Burundi";1992;"North (Kayanza, Kirundo, Muyinga, Ngozi)";0,268;0,35;0,365;0,15;3,6;1,5;42,8;1120;1890
"BDIr102";"Africa";"BDI";5702;29,6060893477705;-4,02291567724373;"Burundi";1992;"South (Bururi, Makamba)";0,291;0,401;0,367;0,168;4,7;1,2;46;1140;927
"BDIr103";"Africa";"BDI";6105;30,2956192232168;-3,50777695863957;"Burundi";1992;"East (Cankuzo, Rutana, Ruyigi )";0,269;0,379;0,351;0,146;3,7;1,3;44,6;1020;405
