"continent";"iso_code";"sup";"lon";"lat";"country";"year";"idh";"idh_vie";"idh_rev";"idh_edu";"edu_esp";"edu_moy";"esp_vie";"pib_hab";"pop"
"Africa";"AGO";1254253;17,5444575812393;-12,2737752119518;"Angola";2022;0,591;0,645;0,601;0,533;12,2;5,8;61,9;5330;35589
"Africa";"BDI";26336;29,8965823937817;-3,3573818441393;"Burundi";2022;0,42;0,646;0,297;0,387;10;3,3;62;710;12890
"Africa";"BEN";115844;2,34227587803931;9,65146048995027;"Benin";2022;0,504;0,615;0,533;0,391;10,3;3,1;60;3410;13353
"Africa";"BFA";275205;-1,76710918816282;12,2894355380738;"Burkina Faso";2022;0,438;0,612;0,455;0,302;8,1;2,3;59,8;2040;22674
"Africa";"BWA";580188;23,820825116191;-22,1827777140613;"Botswana";2022;0,708;0,706;0,755;0,665;11,4;10,4;65,9;14840;2630
"Africa";"CAF";625251;20,4775872926159;6,57552901274107;"Central African Republic CAR";2022;0,387;0,53;0,327;0,334;7,3;4;54,5;870;5579
"Africa";"CIV";321314;-5,53595956505429;7,61790090124981;"Cote d'Ivoire";2022;0,534;0,599;0,602;0,422;10,1;4,2;58,9;5380;28161
"Africa";"CMR";469039;12,7404347283959;5,69091749266561;"Cameroon";2022;0,587;0,63;0,545;0,59;13,4;6,5;61;3680;27915
"Africa";"COD";2337162;23,660316203401;-2,85869282775739;"Congo Democratic Republic";2022;0,481;0,611;0,359;0,506;9,6;7,2;59,7;1080;99010
"Africa";"COG";342320;15,2513712336604;-0,841901128953367;"Congo Brazzaville";2022;0,593;0,662;0,509;0,62;12,4;8,3;63,1;2900;5970
"Africa";"COM";1137;43,7502767922734;-11,9426704009572;"Comoros";2022;0,586;0,672;0,526;0,569;13;6,2;63,7;3260;837
"Africa";"CPV";1560;-24,3045620560846;15,8593292395727;"Cape Verde";2022;0,661;0,842;0,654;0,523;11,5;6,1;74,7;7600;593
"Africa";"DJI";20978;42,5583091677913;11,7150453874512;"Djibouti";2022;0,515;0,659;0,587;0,353;8;3,9;62,9;4870;1121
"Africa";"DZA";2314050;2,69355179768113;28,053806784081;"Algeria";2022;0,745;0,879;0,71;0,663;15,5;7;77,1;10980;44903
"Africa";"EGY";986147;29,7900132661395;26,5383230295647;"Egypt";2022;0,728;0,772;0,728;0,687;12,9;9,8;70,2;12360;110990
"Africa";"ERI";121513;38,8967696462671;15,3372637595588;"Eritrea";2022;0,493;0,717;0,449;0,373;7,3;5,1;66,6;1960;3684
"Africa";"ETH";1134309;39,640013724358;8,61346227856985;"Ethiopia";2022;0,492;0,702;0,478;0,356;9,9;2,4;65,6;2370;123380
"Africa";"GAB";265513;11,7936163058518;-0,62890758108991;"Gabon";2022;0,693;0,703;0,713;0,664;12,4;9,6;65,7;11190;2389
"Africa";"GHA";240480;-1,21383009393897;7,96211268087561;"Ghana";2022;0,602;0,676;0,602;0,536;11,6;6,4;63,9;5380;33476
"Africa";"GIN";246120;-10,9111696726351;10,42025567256;"Guinea";2022;0,471;0,6;0,48;0,362;10,2;2,4;59;2400;13859
"Africa";"GMB";9733;-15,495334867547;13,4376990858991;"Gambia";2022;0,495;0,66;0,459;0,4;9;4,5;62,9;2090;2706
"Africa";"GNB";32283;-14,9037628577838;12,0449319464252;"Guinea Bissau";2022;0,483;0,613;0,443;0,415;10,5;3,7;59,9;1880;2106
"Africa";"GNQ";27027;10,3495045781884;1,68834498851272;"Equatorial Guinea";2022;0,65;0,634;0,705;0,613;12,1;8,3;61,2;10660;1675
"Africa";"KEN";587744;37,845268222099;0,544906119877538;"Kenya";2022;0,601;0,647;0,585;0,572;11,4;7,7;62,1;4810;54027
"Africa";"LBR";96309;-9,30154845673925;6,45155688960437;"Liberia";2022;0,487;0,632;0,391;0,468;10,5;5,3;61,1;1330;5303
"Africa";"LBY";1619655;18,0846955850516;27,0305333193403;"Libya";2022;0,746;0,802;0,798;0,648;14;7,8;72,2;19750;6812
"Africa";"LSO";29409;28,2580592614439;-29,5793666971477;"Lesotho";2022;0,521;0,508;0,498;0,559;11,1;7,5;53;2710;2306
"Africa";"MAR";682852;-9,1423253338715;29,0628725687027;"Morocco";2022;0,698;0,846;0,661;0,607;14,6;6;75;7950;37458
"Africa";"MDG";592985;46,716164528499;-19,3417964535719;"Madagascar";2022;0,487;0,696;0,405;0,409;9,2;4,6;65,2;1460;29612
"Africa";"MLI";1253213;-3,57353709399971;17,3261485156998;"Mali";2022;0,41;0,606;0,456;0,25;7;1,6;59,4;2040;22594
"Africa";"MOZ";790844;35,6157014180132;-17,1988553361297;"Mozambique";2022;0,461;0,61;0,378;0,427;10,7;3,9;59,6;1220;32970
"Africa";"MRT";1044155;-10,3581721828237;20,2262827501367;"Mauritania";2022;0,54;0,688;0,601;0,382;8,1;4,8;64,7;5340;4736
"Africa";"MUS";1178;57,833779120328;-20,1607725970256;"Mauritius";2022;0,796;0,83;0,823;0,739;14,6;10;74;23250;1263
"Africa";"MWI";117630;34,2828346600214;-13,2416696186735;"Malawi";2022;0,508;0,66;0,402;0,494;11,5;5,2;62,9;1430;20405
"Africa";"NAM";826156;17,2172826146554;-22,0796336309263;"Namibia";2022;0,61;0,586;0,683;0,568;11,8;7,2;58,1;9200;2567
"Africa";"NER";1186165;9,34701641063798;17,4170883349948;"Niger";2022;0,394;0,647;0,385;0,244;7,2;1,3;62,1;1280;26208
"Africa";"NGA";906469;8,09114033459286;9,61867891355803;"Nigeria";2022;0,548;0,517;0,583;0,545;10,5;7,6;53,6;4750;218541
"Africa";"RWA";24833;29,9270284816468;-1,99057429026376;"Rwanda";2022;0,548;0,725;0,475;0,479;11,4;4,9;67,1;2320;13777
"Africa";"SDN";1880175;29,9733973981068;16,0291611333855;"Sudan";2022;0,516;0,701;0,538;0,365;8,5;3,9;65,6;3510;46874
"Africa";"SEN";198945;-14,4607512918684;14,3592648156142;"Senegal";2022;0,517;0,737;0,535;0,35;9,1;2,9;67,9;3460;17316
"Africa";"SLE";71437;-11,7691393205187;8,54303476076321;"Sierra Leone";2022;0,458;0,622;0,42;0,368;9;3,5;60,4;1610;8606
"Africa";"SOM";635281;45,8467320618944;6,0448501687124;"Somalia";2022;0,361;0,529;0,393;0,227;1,9;5,2;54,4;1350;17598
