"iso3";"name";"nom";"POP";"PIB";"IDH";"ADOFEC";"CO2HAB";"EMPAGR";"EMPSER";"INTERN";"ESPVIE";"AGEMED";"TELMOB";"MORINF";"TXMIGR";"DVIEUX";"TUBERC";"URBANI";"DJEUNE";"SUBREG";"LOCKED";"COLFRA";"COLGBR";"LANGFR";"LANGEN"
"AGO";"Angola";"Angola";31,3;6794;0,582;152,6;1,12;50,4;41,4;14,3;61,0;16,7;43,1;51,6;0,2;4,3;355,0;65,9;91,5;"Middle Africa";0;0;0;0;0
"BDI";"Burundi";"Burundi";11,4;757;0,432;56,2;0,05;92,0;6,5;2,7;61,4;17,3;56,5;41,0;0,2;4,4;111,0;13,2;87,0;"Eastern Africa";1;0;0;1;0
"BEN";"Benin";"Bénin";11,6;3224;0,543;87,4;0,62;38,9;42,1;20,0;61,6;18,8;82,4;60,5;-0,2;6,0;56,0;47,6;77,8;"Western Africa";0;1;0;1;0
"BFA";"Burkina Faso";"Burkina Faso";20,0;2161;0,448;105,7;0,20;25,6;40,9;16,0;61,4;17,6;97,9;49,0;-1,3;4,6;48,0;29,7;84,9;"Western Africa";1;1;0;1;0
"BWA";"Botswana";"Botswana";2,3;17700;0,733;46,3;2,96;20,9;61,0;47,0;69,4;24,0;150,0;30,0;1,3;7,0;275,0;69,8;54,9;"Southern Africa";1;0;1;0;1
"CAF";"Central African Rep.";"Rep. Centrafricaine ";4,7;939;0,396;130,2;0,07;77,4;17,2;4,3;53,0;17,6;27,7;84,5;-8,6;5,3;540,0;41,6;83,1;"Middle Africa";1;1;0;1;0
"CIV";"Côte d'Ivoire";"Côte d'Ivoire";25,4;5134;0,536;118,5;0,33;40,5;46,5;46,8;57,6;18,9;134,9;59,4;-0,3;5,2;142,0;51,0;75,6;"Western Africa";0;1;0;1;0
"CMR";"Cameroon";"Cameroun";25,5;3628;0,562;107,7;0,32;43,8;41,4;23,2;59,1;18,7;69,1;50,6;-0,2;5,0;186,0;56,7;77,6;"Middle Africa";0;1;0;1;1
"COD";"Dem. Rep. Congo";"Congo, Rép. dém. du";85,4;1092;0,479;124,9;0,02;65,6;24,7;8,6;60,5;17,0;43,4;68,2;0,3;5,9;321,0;44,8;90,5;"Middle Africa";0;0;0;1;0
"COG";"Congo";"Congo";5,3;3356;0,574;113,0;0,62;34,4;43,7;8,7;64,4;19,2;95,3;36,2;-0,8;4,9;375,0;67,2;74,8;"Middle Africa";0;1;0;1;0
"DJI";"Djibouti";"Djibouti";1,0;5367;0,521;19,2;0,67;33,5;53,5;55,7;66,8;26,6;41,2;49,8;0,9;6,9;260,0;77,9;44,5;"Eastern Africa";0;1;0;1;0
"DZA";"Algeria";"Algérie";42,6;11415;0,747;10,3;3,69;9,9;59,3;59,6;76,8;28,5;121,9;20,1;-0,2;10,2;69,0;72,9;48,0;"Northern Africa";0;1;0;1;0
