"RESPNO";"withinwt_ea";"URBRUR";"REGION";"EA_SVC_A";"EA_SVC_B";"EA_FAC_B";"EA_ROAD_C";"THISINT";"ADULT_CT";"CALLS";"Q1";"Q2";"Q46F";"Q46G";"Q46H";"Q46I";"Q57A";"Q57B";"Q58A";"Q58C";"Q90D";"Q90F";"Q90G";"Q91C";"Q92A";"Q94";"LENGTH";"Q101";"Q102";"Q103"
"CDI1133";0.83266906901268;"Urbain";"YAMOUSSOUKRO";"Oui";"Oui";"Non";"Très bonne";"Femme";"2";"1";"27";"Français";"Plutôt mal";"Très mal";"Très mal";"Plutôt bien";"Non";"Non";"Non";"Le vaccin peut causer d’autres effets secondaires indésirables";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université inachevée";73;"Femme";"Noir / Africain";"Français"
"CDI0105";0.890007770199618;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Femme";"4";"2";"52";"Français";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Oui";"Non";"Non";"Le vaccin n’est pas sûr";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université achevée";188;"Femme";"Noir / Africain";"Français"
"CDI0045";1.11789282426283;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"4";"1";"21";"Sénoufo";"Très bien";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";110;"Homme";"Noir / Africain";"Français"
"CDI1087";0.882969999920481;"Rural";"MARAHOUE";"Oui";"Non";"Oui";"Passable";"Femme";"4";"1";"45";"Gouro";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Non, pas disponible";"Oui";"Enseignement primaire inachevé";65;"Femme";"Noir / Africain";"Français"
"CDI1036";0.96121448550732;"Rural";"TCHOLOGO";"Non";"Non";"Oui";"Mauvaise";"Homme";"1";"1";"76";"Sénoufo";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Oui";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Non";"Pas d’enseignement formel";130;"Homme";"Noir / Africain";"Français"
"CDI0119";1.11789282426283;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Passable";"Homme";"3";"1";"66";"Français";"Plutôt bien";"Très mal";"Très mal";"Très mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";137;"Homme";"Noir / Africain";"Français"
"CDI0512";0.97524036916027;"Urbain";"ABIDJAN";"Oui";"Non";"Oui";"Passable";"Homme";"2";"1";"78";"Français";"Plutôt mal";"Plutôt bien";"Plutôt mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";95;"Homme";"Noir / Africain";"Français"
"CDI0187";1.07662230266083;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très mauvaise";"Homme";"5";"1";"72";"Français";"Très mal";"Plutôt mal";"Plutôt mal";"Très mal";"Non";"Non";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire inachevé";104;"Homme";"Noir / Africain";"Français"
"CDI0321";1.01783892592265;"Rural";"MARAHOUE";"Oui";"Oui";"Oui";"Bonne";"Homme";"7";"1";"65";"Autre";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement primaire inachevé";109;"Homme";"Noir / Africain";"Français"
"CDI0157";0.890007770199618;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"2";"1";"62";"Français";"Plutôt mal";"Plutôt mal";"Très mal";"Plutôt mal";"Non";"Non";"Non";"Ne pas faire confiance à la source du vaccin/Attendra d’autres vaccins";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";200;"Homme";"Noir / Africain";"Français"
"CDI0107";0.960885405124789;"Urbain";"ABIDJAN";"Oui";"Non";"Oui";"Très mauvaise";"Homme";"2";"1";"55";"Français";"Plutôt bien";"Très bien";"Plutôt mal";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";144;"Homme";"Noir / Africain";"Français"
"CDI0162";1.00215592672679;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Passable";"Homme";"4";"1";"45";"Français";"Très bien";"Très bien";"Plutôt mal";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";111;"Homme";"Noir / Africain";"Français"
"CDI0602";1.13010855789569;"Rural";"SUD-COMOE";"Oui";"Non";"Oui";"Très mauvaise";"Homme";"4";"1";"67";"Baoulé";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Non";"Oui";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement primaire achevé";97;"Homme";"Noir / Africain";"Français"
"CDI0687";1.0178865241193;"Rural";"HAUT-SASSANDRA";"Oui";"Non";"Oui";"Bonne";"Femme";"2";"1";"38";"Guéré";"Très mal";"Plutôt mal";"Plutôt bien";"Très mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement primaire achevé";75;"Femme";"Noir / Africain";"Français"
"CDI0040";1.11789282426283;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"3";"1";"33";"Français";"Très mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Le vaccin n’est pas sûr";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université achevée";114;"Homme";"Noir / Africain";"Français"
"CDI0344";1.01202496450118;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Passable";"Homme";"3";"1";"27";"Français";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Oui";"Non";"COVID n'existe pas/La COVID n'est pas réelle";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";103;"Homme";"Noir / Africain";"Français"
"CDI0558";1.09277163720074;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Homme";"2";"1";"28";"Français";"Très mal";"Très mal";"Plutôt bien";"Très bien";"Non";"Oui";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Université achevée";79;"Homme";"Noir / Africain";"Français"
"CDI0003";0.968062887142528;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Homme";"7";"1";"24";"Malinké / Dioula";"Très mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";154;"Homme";"Noir / Africain";"Français"
"CDI0275";0.905259919487313;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Homme";"2";"1";"20";"Malinké / Dioula";"Très bien";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Oui";"Non";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée achevé";87;"Homme";"Noir / Africain";"Français"
"CDI0068";0.744663759340406;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"3";"1";"20";"Français";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Ne pas faire confiance à la source du vaccin/Attendra d’autres vaccins";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université inachevée";88;"Homme";"Noir / Africain";"Français"
"CDI0392";1.01202496450118;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Passable";"Homme";"1";"1";"24";"Français";"Plutôt mal";"Très mal";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";77;"Homme";"Noir / Africain";"Français"
"CDI1080";0.988452888269976;"Urbain";"YAMOUSSOUKRO";"Oui";"Oui";"Oui";"Très bonne";"Homme";"14";"1";"34";"Malinké / Dioula";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université achevée";81;"Homme";"Noir / Africain";"Français"
"CDI0775";0.84836933496908;"Rural";"GÔH";"Non";"Non";"Oui";"Passable";"Homme";"5";"1";"22";"Wobé";"Plutôt mal";"Très mal";"Très mal";"Très mal";"Non";"Oui";"Non";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Non";"Enseignement secondaire / lycée achevé";102;"Homme";"Noir / Africain";"Français"
"CDI0234";1.15108867859487;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"3";"1";"31";"Français";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Très mal";"Non";"Non";"Non";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée achevé";109;"Homme";"Noir / Africain";"Français"
"CDI0265";0.999464370970135;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"3";"1";"24";"Français";"Très mal";"Plutôt mal";"Plutôt mal";"Plutôt bien";"Non";"Non";"Non";"COVID n'existe pas/La COVID n'est pas réelle";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée achevé";80;"Homme";"Noir / Africain";"Français"
"CDI0833";1.14086785404215;"Urbain";"MARAHOUE";"Oui";"Non";"Oui";"Passable";"Homme";"3";"1";"51";"Sénoufo";"Très mal";"Plutôt mal";"Plutôt bien";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement secondaire / lycée achevé";220;"Homme";"Noir / Africain";"Français"
"CDI0353";1.01202496450118;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Passable";"Femme";"10";"1";"42";"Malinké / Dioula";"Très mal";"Plutôt mal";"Très bien";"Très bien";"Non";"Non";"Non";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";103;"Femme";"Noir / Africain";"Français"
"CDI0063";1.05867859761648;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Femme";"3";"1";"19";"Malinké / Dioula";"Très bien";"Très bien";"Plutôt bien";"Très bien";"Non";"Oui";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";92;"Femme";"Noir / Africain";"Malinké / Dioula"
"CDI0213";1.10712660123622;"Urbain";"ABIDJAN";"Non";"Non";"Non";"Impraticable";"Femme";"3";"1";"22";"Français";"Plutôt mal";"Plutôt mal";"Plutôt bien";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Pas d’enseignement formel";109;"Femme";"Noir / Africain";"Français"
"CDI0054";1.02189400227557;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Homme";"1";"1";"31";"Autre";"Très bien";"Très bien";"Très bien";"Plutôt bien";"Non";"Non";"Non";"Je ne cours aucun risque ou risque faible de choper la COVID-19/Faible risque de contracter la COVID-19";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée achevé";140;"Homme";"Noir / Africain";"Français"
"CDI0790";1.0051726932743;"Rural";"GONTOUGO";"Non";"Non";"Oui";"Passable";"Homme";"8";"1";"34";"Abron";"Plutôt bien";"Très mal";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée achevé";70;"Homme";"Noir / Africain";"Français"
