"dis_code";"dis_nom";"dep_code";"dep_nom";"dis_cap";"pop";"men";"sup";"km_abidj";"km_yamou";"km_capdis";"men_ecl_elec";"men_ecl_group";"men_ecl_lampe";"men_ecl_bois";"men_ecl_torche";"men_ecl_autre"
"A";"Abidjan";"A1";"Abidjan";1;6321016;1414136;2148,812095892;18,1202860714543;205,862010023044;18,1202860714543;1387608;3863;2484;160;13141;1005
"B";"Yamoussoukro";"B1";"Attiégouakro";0;49513;9332;805,071434571591;213,422449793113;25,8849447891769;25,8849447891769;7220;1;22;5;1942;10
"B";"Yamoussoukro";"B1";"Yamoussoukro";1;372560;73428;1273,18758353121;225,315276260898;11,5557951415999;11,5557951415999;67228;170;235;16;3128;38
"C";"Bas-Sassandra";"C1";"San Pédro";1;790241;150351;7142,93250613371;311,633270086349;259,306021268037;37,2039398239831;86787;1428;927;210;11936;177
"C";"Bas-Sassandra";"C2";"Tabou";0;270480;47714;5197,99977309507;379,886940961194;318,790107300516;94,2493854069938;11315;1352;277;84;5868;80
"C";"Bas-Sassandra";"C3";"Buyo";0;176569;27691;2376,5633802042;338,823286313482;195,158997500379;153,660530147544;10131;619;217;49;3877;66
"C";"Bas-Sassandra";"C4";"Guéyo";0;102213;17809;881,520155148923;234,020540736005;158,247026948463;100,20238324101;9828;167;111;27;2166;35
"C";"Bas-Sassandra";"C5";"Méagui";0;215456;42432;1525,30350688326;294,137833224499;207,964290881276;73,0609178201096;25226;302;406;43;5042;50
"C";"Bas-Sassandra";"C6";"Méagui";0;83794;13047;1689,04896003069;319,213872991535;207,202154394459;105,358779036729;190;10472;20;2070;18;0
"C";"Bas-Sassandra";"C6";"Soubré";0;587441;108633;3313,29222306374;283,683633808695;163,634054651349;122,110381673028;74742;803;748;101;10410;127
"C";"Bas-Sassandra";"C7";"Fresco";0;107751;20626;1872,83203262437;179,487444230764;164,680183717384;120,621275792323;7166;1221;348;43;4825;24
"C";"Bas-Sassandra";"C8";"Sassandra";0;353231;64465;4358,24915853781;236,941113250285;195,099806701337;68,6364624640778;17115;2848;659;111;8161;203
"D";"Comoe";"D1";"Abengourou";1;430539;87494;4031,28775565689;160,120800649292;203,658501655734;24,0453500348354;70021;220;942;96;10600;62
"D";"Comoe";"D2";"Agnibilékrou";0;216265;46882;1797,00332318777;209,497576646388;223,752912288283;52,3306096365065;36729;342;744;82;5724;32
"D";"Comoe";"D3";"Béttié";0;69641;11765;1112,51501087155;119,743349207852;230,352823094021;61,6834305430182;8225;67;155;21;2094;3
"D";"Comoe";"D4";"Aboisso";0;361843;71741;4445,74438998968;103,401741613307;274,993319892628;130,223374920192;56868;454;362;140;5773;58
"D";"Comoe";"D5";"Adiaké";0;88007;18400;880,846770375408;82,8034950150252;283,857226955951;166,182953225323;15189;242;146;12;1652;5
"D";"Comoe";"D6";"Grand-Bassam";0;267103;60148;942,84037401177;46,970748970961;247,617953340784;150,939630566167;55890;322;251;47;1702;21
"D";"Comoe";"D7";"Tiapoum";0;67941;11625;836,527603785167;125,284748168135;318,299674531481;176,689703061945;9459;38;119;10;943;1
"E";"Denguele";"E1";"Gbeleban";0;29532;4490;1927,96257552448;644,748104431789;430,949619153153;44,8645034075432;4102;2;12;0;331;0
"E";"Denguele";"E2";"Madinani";0;50248;5181;3177,89667147682;588,472329738049;378,187916044777;72,18166171358;4463;63;5;4;266;4
"E";"Denguele";"E3";"Odienne";1;156732;30037;6122,40297964604;583,819067929734;370,197904200828;35,3301078085429;26446;221;78;73;2020;7
"E";"Denguele";"E4";"Samatiguila";0;19710;3298;827,153568515562;640,358779832692;427,114688674916;36,8490237616782;3044;33;19;9;121;5
"E";"Denguele";"E5";"Séguélon";0;33585;5110;2189,40769911577;550,02161175068;337,330470617289;65,7029812040552;3600;11;15;2;428;22
"E";"Denguele";"E6";"Kaniasso";0;84572;8559;3440,05168839043;629,040048649414;419,287849489876;77,2722478295208;6430;35;36;9;504;5
"E";"Denguele";"E7";"Minignan";0;61637;9953;3190,28148990201;672,480955994763;460,115528502784;77,1070230716523;7596;13;98;32;1051;2
"F";"Goh-Djiboua";"F1";"Gagnoa";1;724496;135093;4695,39415237955;240,657503328231;107,135943724775;27,6781100596149;103657;742;1447;138;12698;100
"F";"Goh-Djiboua";"F2";"Oumé";0;260786;49456;2225,82421270965;209,529614642148;55,3747235938829;53,1692032432266;37287;199;690;39;6297;96
"F";"Goh-Djiboua";"F3";"Divo";0;571688;103665;3539,76458272868;153,404777900274;91,1454792225828;83,5274451864112;75997;702;1036;49;9133;163
"F";"Goh-Djiboua";"F4";"Guitry";0;197235;33246;2494,34087001284;139,672315228581;149,966753655953;108,575302825296;15761;408;645;31;4653;23
"F";"Goh-Djiboua";"F5";"Lakota";0;334234;63174;2789,30585784834;197,660561856774;103,232509564579;42,5407209504367;43921;605;650;74;7056;113
"G";"Lacs";"G1";"Didievi";0;93629;15861;1710,70704183954;240,572821853098;80,3254972751139;76,2592643848908;12201;21;30;11;3175;7
"G";"Lacs";"G2";"Djekanou";0;37281;8802;386,753891718719;170,93000328953;44,7794696401484;54,7449505662961;6493;24;77;2;1557;16
"G";"Lacs";"G3";"Tiébissou";0;116321;22165;2393,9703259098;233,051838455105;47,8659218803407;70,4462595665515;15858;140;156;14;5000;68
"G";"Lacs";"G4";"Toumodi";0;168362;33553;2345,00479746566;173,330744376159;43,3262499077256;43,3755852686077;27672;180;136;14;4192;15
"G";"Lacs";"G5";"Daoukro";0;148096;32221;2209,89801435452;210,803954130195;177,175249895468;118,620635877043;23892;97;161;37;5401;41
"G";"Lacs";"G6";"M'Bahiakro";0;78370;14604;2573,85196651419;260,692247635131;146,990174585998;117,523051324747;6903;112;128;60;5085;12
"G";"Lacs";"G7";"Ouellé";0;56500;12061;1584,86608652391;221,66165151557;131,005522124596;87,4953304141037;7591;33;66;13;3936;18
"G";"Lacs";"G8";"Prikro";0;95594;15530;2539,00891581116;258,341078567607;184,499284237507;140,939175004717;9826;29;35;24;3935;43
"G";"Lacs";"G9";"Bocanda";0;121470;21052;2550,50255020577;187,802645577364;106,408548100078;50,7770711288647;11391;141;348;35;7124;11
