oldcode;dis_nom;dep_code;dep_nom;spr_code;spr_nom;pop_tot;men_tot;men_ecl_elec;men_ecl_group;men_ecl_solaire;men_ecl_lampe;men_ecl_bois;men_ecl_torche;men_ecl_autre
CI010101;Abidjan;A1;Abidjan;A101;Abidjan;5616633;1261750;1242973;3295;2951;1452;123;10140;816
CI010102;Abidjan;A1;Abidjan;A102;Anyama;389592;80147;76371;411;1725;481;19;1011;129
CI010103;Abidjan;A1;Abidjan;A103;Bingerville;204656;46607;44972;74;419;222;3;860;57
CI010104;Abidjan;A1;Abidjan;A104;Brofodoumé;20357;5088;4515;18;229;50;2;274;0
CI010105;Abidjan;A1;Abidjan;A105;Songon;89778;20544;18777;65;551;279;13;856;3
CI020101;Yamoussoukro;B1;Attiégouakro;B101;Attiégouakro;14863;2819;2077;0;10;10;1;718;3
CI020102;Yamoussoukro;B1;Attiégouakro;B102;Lolobo;34650;6513;5143;1;122;12;4;1224;7
CI020201;Yamoussoukro;B1;Yamoussoukro;B103;Yamoussoukro;340234;67394;62840;120;2371;212;14;1800;37
CI020202;Yamoussoukro;B1;Yamoussoukro;B104;Kossou;32326;6034;4388;50;242;23;2;1328;1
CI290102;Bas-Sassandra;C1;San Pédro;C101;Doba;95246;17498;2875;197;12171;153;56;2031;15
CI290103;Bas-Sassandra;C1;San Pédro;C102;Dogbo;61632;10015;19;139;8758;95;19;970;15
CI290104;Bas-Sassandra;C1;San Pédro;C103;Gabiadji;113369;20666;12275;73;5655;124;32;2468;39
CI290105;Bas-Sassandra;C1;San Pédro;C104;Grand-Béréby;129340;26269;12565;720;10099;253;49;2532;51
CI290101;Bas-Sassandra;C1;San Pédro;C105;San-Pédro;390654;75903;59053;299;12203;302;54;3935;57
CI290202;Bas-Sassandra;C2;Tabou;C201;Dapo-Iboké;20368;4647;982;69;2676;132;3;774;11
CI290203;Bas-Sassandra;C2;Tabou;C202;Djamandioké;22824;3372;1013;275;1318;19;6;738;3
CI290204;Bas-Sassandra;C2;Tabou;C203;Djouroutou;91316;15377;169;500;13159;49;33;1433;34
CI290205;Bas-Sassandra;C2;Tabou;C204;Grabo;53824;9789;1939;230;6523;16;27;1041;13
CI290206;Bas-Sassandra;C2;Tabou;C205;Olodio;19429;4786;313;181;3261;26;8;980;17
CI290201;Bas-Sassandra;C2;Tabou;C206;Tabou;62719;9743;6899;97;1801;35;7;902;2
CI260101;Bas-Sassandra;C3;Buyo;C301;Buyo;100848;15769;7452;528;5543;92;17;2122;15
CI260102;Bas-Sassandra;C3;Buyo;C302;Dapéoua;75721;11922;2679;91;7189;125;32;1755;51
CI260202;Bas-Sassandra;C4;Guéyo;C401;Dabouyo;45751;7579;4963;116;1712;62;7;701;18
CI260201;Bas-Sassandra;C4;Guéyo;C402;Guéyo;56462;10230;4865;51;3763;49;20;1465;17
CI260402;Bas-Sassandra;C6;Méagui;C501;Gnanmangui;83794;13047;190;10472;132;20;2070;18;0
CI260301;Bas-Sassandra;C5;Méagui;C502;Méagui;153483;33047;19105;278;9646;206;27;3735;50
CI260302;Bas-Sassandra;C5;Méagui;C503;Oupoyo;61973;9385;6121;24;1717;200;16;1307;0
CI260403;Bas-Sassandra;C6;Soubré;C601;Grand-Zatry;112049;17399;11036;249;3586;332;29;2156;11
CI260404;Bas-Sassandra;C6;Soubré;C602;Liliyo;82566;14682;11509;39;1584;70;15;1458;7
CI260405;Bas-Sassandra;C6;Soubré;C603;Okrouyo;120053;19805;7233;329;9524;165;34;2512;8
CI260401;Bas-Sassandra;C6;Soubré;C604;Soubre;272773;56747;44964;186;7008;181;23;4284;101
CI120101;Bas-Sassandra;C7;Fresco;C701;Dahiri;34821;5802;1445;277;2432;58;6;1584;0
CI120102;Bas-Sassandra;C7;Fresco;C702;Fresco;48098;10602;4618;826;2723;190;21;2201;23
CI120103;Bas-Sassandra;C7;Fresco;C703;Gbagbam;24832;4222;1103;118;1844;100;16;1040;1
CI120202;Bas-Sassandra;C8;Sassandra;C801;Dakpadou;71998;12089;4048;2368;4490;66;14;1014;89
CI120203;Bas-Sassandra;C8;Sassandra;C802;Grihiri;41965;7083;9;67;5885;113;15;987;7
CI120204;Bas-Sassandra;C8;Sassandra;C803;Lobakuya;42746;6521;40;43;5476;97;10;855;0
CI120205;Bas-Sassandra;C8;Sassandra;C804;Medon;17437;3554;8;47;2585;129;14;700;71
CI120206;Bas-Sassandra;C8;Sassandra;C805;Sago;91140;17190;2534;180;11721;152;28;2564;11
CI120201;Bas-Sassandra;C8;Sassandra;C806;Sassandra;87945;18028;10476;143;5211;102;30;2041;25
CI200101;Comoe;D1;Abengourou;D101;Abengourou;164424;32376;29031;97;1196;279;18;1731;24
CI200102;Comoe;D1;Abengourou;D102;Amélékia;25387;6863;5280;4;185;27;3;1346;18
CI200103;Comoe;D1;Abengourou;D103;Aniassué;42729;8215;5748;35;928;31;11;1459;3
CI200104;Comoe;D1;Abengourou;D104;Ebilassokro;28331;5098;2929;18;1393;7;6;742;3
CI200105;Comoe;D1;Abengourou;D105;Niable;57081;10734;8036;20;815;51;31;1780;1
CI200106;Comoe;D1;Abengourou;D106;Yakasse-Féyassé;52445;11742;8316;25;570;304;21;2497;9
CI200107;Comoe;D1;Abengourou;D107;Zaranou;60142;12466;10681;21;466;243;6;1045;4
CI200201;Comoe;D2;Agnibilékrou;D201;Agnibilekrou;99501;23896;21511;123;654;183;27;1390;8
CI200202;Comoe;D2;Agnibilékrou;D202;Akoboissué;36022;7281;4855;122;663;189;31;1421;0
